deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
11134,Medium,2023-12-12,2523,Dry Bulk,14.781656399726216,There is an emergency stop for the rescue boat engine.,There is a washing machine in the A/C station.,The emergency stop of rescue boat needs proper training and education.,"Insufficient instructions, orientation and/or training are examples of inadequate leadership and/or supervision.",To make sure the crew knows how to use the emergency stop of the rescue boat.,Training and education will be done to make sure that the correct procedures are followed when using a life-saving appliance.,No
1309,High,2024-05-16,5076,Dry Bulk,11.537303216974674,The fire plan will be updated.,The stability booklet states that shearing forces that do not comply with condition are found in the last loading computer test.,After a change of management failure to check the tanks in the certificate section 3.1 is what happened.,The master did not compare the fire plan with the safety equipment certificate.,The data was rectified as per the ship's certificate.,"While renewing a ship's certificate, the staff and master should check and confirm all the information.",No
5199,Medium,2024-02-13,1134,Dry Bulk,15.200547570157427,The strands of the radio antenna wire are broken.,The port side wharf is between No. 4 and 5 Cargo Harbor.,Cleaned before leaving.,There is a lack of effective checks during the schedule.,The radio antenna wire has been renewed.,The finding will be discussed during the joining briefing of senior sea staff in the office.,No
5105,High,2024-04-22,1036,Dry Bulk,7.8904859685147155,The antenna wire is broken.,The new telephone numbering system installed 3 months ago does not correspond to the auto telephone directory at the emergency control station.,The damaged wire clips were not secured.,The crew failed to do a good inspection after they encountered adverse weather.,The issue had been confirmed and closed out during the same day PSC re-inspection.,Instructs officer to check his aerial antenna connections on a weekly basis.,No
14119,Low,2023-10-21,2074,Dry Bulk,11.052703627652292,The engine generator is a foundation oily.,There are pipes leaking on the deck.,The crew did not follow the inspection.,"During maintenance of the engine the cylinder head covers were removed and before the assembly, the lube oil flow was checked.",The cylinder head covers were re- inspected to make sure they were in good shape.,"There are specific instructions how to close a maintenance job which are complemented by weekly Health, Occupational, Safety and Environmental Inspection which is conducted by the Senior Management onboard.",No
1336,Medium,2023-05-22,1797,Dry Bulk,12.224503764544831,There is a certificate or documentary evidence of financial security.,A certificate of financial security for crew repatriation and ship owners liability is posted in a mess room.,"While taking over, the master didn't check the certificate at the mess rooms.",There was no certificate or documentary posted.,There are certificates of financial security posted on the spaces.,Crew trained MLC Part- II will be strengthened.,No
18428,Low,2023-11-20,892,Dry Bulk,6.721423682409308,The crew handling of a fire hose was unsafe.,Medium.,Substandard acts.,PSC officer requested the testing of emergency fire pump and one crew member was sent on deck to place a fire hose in order to test fire pressure.,"Every crew member was busy with other tasks as the PSC was a team of two plus two auditors and during the inspection, cargo hold inspectors were also onboard keeping many other crew.",Extra training was sent to the fleet in order for the crew member to hold the fire hose.,No
3104,Low,2023-05-24,439,Dry Bulk,10.976043805612594,Cargo and other hatchways are damaged due to minor oil leak from hatch covers.,The PSCO found that the ME fuel quick closing valve can close quickly.,Lack of training.,The officer didn't know about the ICLL 2003 Amend/ANNEX I/Reg.14 and didn't follow the SMI-S-H03 and SMI-S-H05.,"Trained the crew with the ICLL 2003 Amend/ANNEX I/Reg.14, SMI-S-H03 and SMI-S-H05.",Training of ICLL 2003; SMI-S-H03 and SMI-S-H05 SOLAS is relevant to enhance crew safety awareness and professional level.,No
14404,Medium,2023-02-06,2713,General Cargo,11.014373716632443,The sewage inlet valve is difficult to operate.,"After treatment, sewage water is collected through the pipe to the peak tank which is not marked on the cert.",The valve that goes to the sewage treatment unit is not rotating.,There are issues with the sewage holding tank in the sewage treatment system.,It's a good idea to inspect and move the valves which are not used often.,The valve will be closed when it is operational on the spot.,No
7103,Low,2024-06-21,4877,Dry Bulk,18.973305954825463,The crew cabin is being used as a general store.,mooring ropes were not laid correctly after berths.,The air supply system valve was closed.,There is a lack of storage area in the drinking water store.,The store was on the plane.,"As per the GA plan,CCOMODATION SPACE needs to be checked.",No
3108,High,2023-06-10,1122,Container,22.688569472963724,There are holes in the main deck ventilator P22 and P21 pipe conduit.,The international shore connection is a universal hose connection that is to be provided on all ships.,The broken bulbs of indicator lights on the ship's Electrician were replaced immediately by the PSCO who was present on the scene.,The root cause is the failure of the Electrician to discharge his duties and to ensure that the pipe of the main deck's ventilators were in good working order.,The ship's electrician immediately repaired the holed pipe conduit of the ventilator P22 and P21 by removing the head shrinker and installing a new threaded cable.,"In order to ensure the correct function and good condition of all electrical equipment's, the Electrician was strongly advised that frequent inspection be done.",No
10133,Low,2024-01-16,1058,Dry Bulk,14.291581108829568,The Chief Officer is not familiar with the ships.,There are certificates and documentation.,The Chief Officer presented the plan to the officer.,Chie officer was at the port prior to the inspection.,"After deficiency was imposed and for the sake of good order, the Crew Department arranged a remote video conference training in the next day in order to refresh the knowledge of the officer.","In order to raise awareness and for all vessel's compliance, deficiency will be sent to all fleet's vessels.",No
